article_id,weak_supervision_label,preliminary_model_label,centroid_cosine_similarity,cosine_similarity_band,weak_vs_model_confusion_cell,llm_majority_label,llm_voting_protocol,llm_per_voter_breakdown
v18_4628,0,0,0.4460654854774475,low,no_error,0.0,no_vote,no_vote
v18_2451,0,1,0.6027079820632935,mid,no_error,0.0,no_vote,no_vote
v18_2846,0,1,0.5704643726348877,mid_low,no_error,0.0,no_vote,no_vote
v18_1144,1,1,0.7079911828041077,high,no_error,0.0,no_vote,no_vote
v18_3078,0,0,0.3080111145973205,extreme_low,no_error,0.0,no_vote,no_vote
v18_1103,1,1,0.6966763734817505,mid_high,no_error,0.0,no_vote,no_vote
v18_0168,0,0,0.5003,mid,TP,0.0,no_vote,no_vote
v18_1670,0,1,0.5627391338348389,mid_low,no_error,0.0,no_vote,no_vote
v18_2570,0,1,0.537981390953064,low_mid,no_error,0.0,no_vote,no_vote
v18_2377,0,1,0.6091349124908447,mid,no_error,0.0,no_vote,no_vote
v18_4395,0,0,0.5692297220230103,mid_low,no_error,0.0,no_vote,no_vote
v18_4257,0,0,0.5331404209136963,low_mid,no_error,0.0,no_vote,no_vote
v18_3862,0,0,0.3988779187202453,extreme_low,no_error,0.0,no_vote,no_vote
v18_0023,1,0,0.7009,high,FP,0.0,no_vote,no_vote
v18_2633,0,1,0.5746073722839355,mid_low,no_error,0.0,no_vote,no_vote
v18_3340,0,0,0.4053187072277069,low,no_error,0.0,no_vote,no_vote
v18_2215,0,1,0.5982140302658081,mid_low,no_error,0.0,no_vote,no_vote
v18_3682,0,0,0.4990437924861908,low,no_error,0.0,no_vote,no_vote
v18_4724,0,0,0.5525426864624023,mid_low,no_error,0.0,no_vote,no_vote
v18_1907,0,1,0.5941329002380371,mid_low,no_error,0.0,no_vote,no_vote
v18_0084,0,0,0.3645,low,TP,0.0,no_vote,no_vote
v18_0227,0,0,0.5004,mid,TP,0.0,no_vote,no_vote
v18_0296,0,0,0.5001,mid,TP,0.0,no_vote,no_vote
v18_1001,0,1,0.6740362048149109,mid_high,no_error,0.0,no_vote,no_vote
v18_2138,0,1,0.5695496201515198,mid_low,no_error,0.0,no_vote,no_vote
v18_0711,0,0,0.4722,low,TP,0.0,org_diverse_0,gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-20b/OpenAI-OSS=0|gq-qwen3-32b/Alibaba=0|ms-ministral-8b/Mistral=1|ms-small-latest/Mistral=1
v18_2801,0,1,0.533379077911377,low_mid,no_error,0.0,no_vote,no_vote
v18_2527,0,1,0.6421870589256287,mid,no_error,0.0,no_vote,no_vote
v18_3752,0,0,0.4872712790966034,low,no_error,0.0,no_vote,no_vote
v18_3321,0,0,0.4231022596359253,low,no_error,0.0,no_vote,no_vote
v18_3181,0,0,0.4421253204345703,low,no_error,0.0,no_vote,no_vote
v18_4183,0,0,0.5075480937957764,low_mid,no_error,0.0,no_vote,no_vote
v18_1615,0,1,0.5858579277992249,mid_low,no_error,0.0,no_vote,no_vote
v18_3024,0,0,0.3823793530464172,extreme_low,no_error,0.0,no_vote,no_vote
v18_1413,0,1,0.6603043675422668,mid_high,no_error,0.0,no_vote,no_vote
v18_0763,1,1,0.7628,high,TN,0.0,no_vote,no_vote
v18_0655,1,0,0.7043,high,FP,0.0,no_vote,no_vote
v18_4797,0,0,0.4805015921592712,low,no_error,0.0,no_vote,no_vote
v18_3849,0,0,0.366005003452301,extreme_low,no_error,0.0,no_vote,no_vote
v18_4153,0,0,0.5470977425575256,low_mid,no_error,0.0,no_vote,no_vote
v18_0468,1,1,0.6966,mid,TN,0.0,no_vote,no_vote
v18_0157,1,0,0.7158,high,FP,0.0,no_vote,no_vote
v18_1295,0,1,0.6603165864944458,mid_high,no_error,0.0,no_vote,no_vote
v18_0497,1,0,0.6961,mid,FP,0.0,no_vote,no_vote
v18_4740,0,0,0.4597824811935425,low,no_error,0.0,no_vote,no_vote
v18_2940,0,0,0.2939016819000244,extreme_low,no_error,0.0,no_vote,no_vote
v18_3456,0,0,0.4367826282978058,low,no_error,0.0,no_vote,no_vote
v18_0373,0,1,0.5028,mid,FN,0.0,org_diverse_0,gq-llama-4-scout-17b-16e/Meta=0|gq-qwen3-32b/Alibaba=0|ms-ministral-8b/Mistral=0|cb-llama3.1-8b/Meta=1|gq-llama4-scout/Meta=0|ms-small-latest/Mistral=0|gq-llama-3.1-8b/Meta=1
v18_0079,1,0,0.6952,mid,FP,0.0,no_vote,no_vote
v18_1553,0,1,0.6196503639221191,mid,no_error,0.0,no_vote,no_vote
v18_1669,0,1,0.6117214560508728,mid,no_error,0.0,no_vote,no_vote
v18_2131,1,1,0.7163101434707642,high,no_error,0.0,no_vote,no_vote
v18_4439,0,0,0.5246235132217407,low_mid,no_error,0.0,no_vote,no_vote
v18_0465,1,1,0.6969,mid,TN,0.0,no_vote,no_vote
v18_0248,0,0,0.5053,mid,TP,0.0,weighted_majority_0,gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-20b/OpenAI-OSS=0|gq-gpt-oss-120b/OpenAI-OSS=0|or-gpt-oss-120b/OpenAI-OSS=0|or-minimax-m2.5/MiniMax=0|cb-llama3.1-8b/Meta=1|gq-llama4-scout/Meta=0|gq-llama-3.
v18_0931,1,1,0.7816495895385742,very_high,no_error,0.0,no_vote,no_vote
v18_1335,1,1,0.7014590501785278,high,no_error,0.0,no_vote,no_vote
v18_4524,0,0,0.5770760774612427,mid_low,no_error,0.0,no_vote,no_vote
v18_1338,0,1,0.6682417392730713,mid_high,no_error,0.0,no_vote,no_vote
v18_1406,0,1,0.6753997802734375,mid_high,no_error,0.0,no_vote,no_vote
v18_1090,0,1,0.6521296501159668,mid_high,no_error,0.0,no_vote,no_vote
v18_4209,0,0,0.5385698080062866,low_mid,no_error,0.0,no_vote,no_vote
v18_0742,0,0,0.3351,low,TP,0.0,no_vote,no_vote
v18_2323,0,1,0.6091940999031067,mid,no_error,0.0,no_vote,no_vote
v18_3601,0,0,0.4544200301170349,low,no_error,0.0,no_vote,no_vote
v18_2123,0,1,0.6093456745147705,mid,no_error,0.0,no_vote,no_vote
v18_2094,0,1,0.5763273239135742,mid_low,no_error,0.0,no_vote,no_vote
v18_0240,1,1,0.7423,high,TN,0.0,no_vote,no_vote
v18_2351,0,1,0.5784997940063477,mid_low,no_error,0.0,no_vote,no_vote
v18_1370,0,1,0.6842309832572937,mid_high,no_error,0.0,no_vote,no_vote
v18_1057,0,1,0.6733418703079224,mid_high,no_error,0.0,no_vote,no_vote
v18_4816,0,0,0.5361332893371582,low_mid,no_error,0.0,no_vote,no_vote
v18_0199,0,0,0.5007,mid,TP,0.0,no_vote,no_vote
v18_2280,0,1,0.5017098188400269,low_mid,no_error,0.0,no_vote,no_vote
v18_4749,0,0,0.5091774463653564,low_mid,no_error,0.0,no_vote,no_vote
v18_2220,0,1,0.6033969521522522,mid,no_error,0.0,no_vote,no_vote
v18_4771,0,0,0.5238902568817139,low_mid,no_error,0.0,no_vote,no_vote
v18_2819,0,1,0.5709071755409241,mid_low,no_error,0.0,no_vote,no_vote
v18_3150,0,0,0.399089366197586,extreme_low,no_error,0.0,no_vote,no_vote
v18_4256,0,0,0.5487511157989502,low_mid,no_error,0.0,no_vote,no_vote
v18_3107,0,0,0.4446435272693634,low,no_error,0.0,no_vote,no_vote
v18_1973,0,1,0.601503849029541,mid,no_error,0.0,no_vote,no_vote
v18_1375,0,1,0.6575574278831482,mid_high,no_error,0.0,no_vote,no_vote
v18_3968,0,0,0.4548344016075134,low,no_error,0.0,no_vote,no_vote
v18_4062,0,0,0.4825563430786133,low,no_error,0.0,no_vote,no_vote
v18_4445,0,0,0.4653714895248413,low,no_error,0.0,no_vote,no_vote
v18_3557,0,0,0.2667362093925476,extreme_low,no_error,0.0,no_vote,no_vote
v18_0964,0,1,0.6545635461807251,mid_high,no_error,0.0,no_vote,no_vote
v18_0179,0,0,0.4291,low,TP,0.0,no_vote,no_vote
v18_3698,0,0,0.4034938216209411,low,no_error,0.0,no_vote,no_vote
v18_3821,0,0,0.4868624806404114,low,no_error,0.0,no_vote,no_vote
v18_4878,0,0,0.4460261166095733,low,no_error,0.0,no_vote,no_vote
v18_3899,0,0,0.4907374083995819,low,no_error,0.0,no_vote,no_vote
v18_4487,0,0,0.5234600305557251,low_mid,no_error,0.0,no_vote,no_vote
v18_3238,0,0,0.4304035305976867,low,no_error,0.0,no_vote,no_vote
v18_2974,0,0,0.3885352611541748,extreme_low,no_error,0.0,no_vote,no_vote
v18_3580,0,0,0.3514572381973266,extreme_low,no_error,0.0,no_vote,no_vote
v18_2887,0,1,0.5358978509902954,low_mid,no_error,0.0,no_vote,no_vote
v18_2575,0,1,0.5867294073104858,mid_low,no_error,0.0,no_vote,no_vote
v18_1419,1,1,0.7203713655471802,high,no_error,0.0,no_vote,no_vote
v18_3907,0,0,0.4391656816005707,low,no_error,0.0,no_vote,no_vote
v18_4673,0,0,0.5441760420799255,low_mid,no_error,0.0,no_vote,no_vote
v18_4902,0,0,0.5280486345291138,low_mid,no_error,0.0,no_vote,no_vote
v18_1860,0,1,0.6303398609161377,mid,no_error,0.0,no_vote,no_vote
v18_0008,0,0,0.4343,low,TP,0.0,no_vote,no_vote
v18_2894,1,1,0.689004123210907,mid_high,no_error,0.0,no_vote,no_vote
v18_2847,0,1,0.6110045313835144,mid,no_error,0.0,no_vote,no_vote
v18_3664,0,0,0.4750607013702392,low,no_error,0.0,no_vote,no_vote
v18_0144,0,0,0.5006,mid,TP,1.0,org_diverse_1,gq-llama-4-scout-17b-16e/Meta=1|gq-qwen3-32b/Alibaba=1|gq-llama4-scout/Meta=0|cb-llama3.1-8b/Meta=1|ms-ministral-8b/Mistral=1|ms-nemo/Mistral=1|ms-small-latest/Mistral=1
v18_2104,0,1,0.558098316192627,mid_low,no_error,0.0,no_vote,no_vote
v18_3143,0,0,0.327382355928421,extreme_low,no_error,0.0,no_vote,no_vote
v18_0841,0,1,0.655390739440918,mid_high,no_error,0.0,no_vote,no_vote
v18_1128,0,1,0.68526291847229,mid_high,no_error,0.0,no_vote,no_vote
v18_0151,1,1,0.6979,mid,TN,0.0,org_diverse_0,gq-gpt-oss-20b/OpenAI-OSS=0|gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-120b/OpenAI-OSS=0|gq-qwen3-32b/Alibaba=0|or-gpt-oss-120b/OpenAI-OSS=0|ms-ministral-8b/Mistral=0|ms-small-latest/Mistral=0|cb-llam
v18_3591,0,0,0.4257089495658874,low,no_error,0.0,no_vote,no_vote
v18_1052,1,1,0.7181624174118042,high,no_error,0.0,no_vote,no_vote
v18_1590,0,1,0.5934098362922668,mid_low,no_error,0.0,no_vote,no_vote
v18_3008,0,0,0.4435265958309173,low,no_error,0.0,no_vote,no_vote
v18_2029,0,1,0.6324678659439087,mid,no_error,0.0,no_vote,no_vote
v18_3418,0,0,0.4363393485546112,low,no_error,0.0,no_vote,no_vote
v18_1807,0,1,0.6214293241500854,mid,no_error,0.0,no_vote,no_vote
v18_2696,0,1,0.5113797187805176,low_mid,no_error,0.0,no_vote,no_vote
v18_3039,0,0,0.4481255114078522,low,no_error,0.0,no_vote,no_vote
v18_0472,0,0,0.5024,mid,TP,0.0,org_diverse_0,gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-20b/OpenAI-OSS=0|gq-gpt-oss-120b/OpenAI-OSS=0|gq-llama4-scout/Meta=0|ms-ministral-8b/Mistral=0|ms-small-latest/Mistral=0|ms-nemo/Mistral=0
v18_3289,0,0,0.4303086996078491,low,no_error,0.0,no_vote,no_vote
v18_4074,0,0,0.5089700222015381,low_mid,no_error,0.0,no_vote,no_vote
v18_3496,0,0,0.3284474015235901,extreme_low,no_error,0.0,no_vote,no_vote
v18_0279,1,0,0.7534,high,FP,0.0,no_vote,no_vote
v18_1741,0,1,0.627841591835022,mid,no_error,0.0,no_vote,no_vote
v18_4624,0,0,0.5648112297058105,mid_low,no_error,0.0,no_vote,no_vote
v18_2886,0,1,0.6155938506126404,mid,no_error,0.0,no_vote,no_vote
v18_1941,0,1,0.5532279014587402,mid_low,no_error,0.0,no_vote,no_vote
v18_0100,0,1,0.5027,mid,FN,0.0,org_diverse_0,gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-120b/OpenAI-OSS=0|gq-qwen3-32b/Alibaba=0|gq-llama4-scout/Meta=0|cb-llama3.1-8b/Meta=0|ms-ministral-8b/Mistral=0|ms-small-latest/Mistral=0
v18_2804,0,1,0.5005754232406616,low_mid,no_error,0.0,no_vote,no_vote
v18_3570,0,0,0.1178137511014938,extreme_low,no_error,0.0,no_vote,no_vote
v18_3684,0,0,0.4930418729782104,low,no_error,0.0,no_vote,no_vote
v18_3661,0,0,0.4592498540878296,low,no_error,0.0,no_vote,no_vote
v18_0530,1,0,0.6907,mid,FP,0.0,no_vote,no_vote
v18_1886,0,1,0.6259945631027222,mid,no_error,0.0,no_vote,no_vote
v18_0681,0,0,0.5027,mid,TP,0.0,org_diverse_0,gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-20b/OpenAI-OSS=0|gq-gpt-oss-120b/OpenAI-OSS=0|or-gpt-oss-120b/OpenAI-OSS=0|or-minimax-m2.5/MiniMax=0|cb-llama3.1-8b/Meta=1|ms-ministral-8b/Mistral=0|ms-small
v18_3794,0,0,0.4271158576011657,low,no_error,0.0,no_vote,no_vote
v18_3944,0,0,0.4936261773109436,low,no_error,0.0,no_vote,no_vote
v18_4666,0,0,0.5282105207443237,low_mid,no_error,0.0,no_vote,no_vote
v18_2018,0,1,0.5979472994804382,mid_low,no_error,0.0,no_vote,no_vote
v18_1096,0,1,0.6695801019668579,mid_high,no_error,0.0,no_vote,no_vote
v18_0829,0,1,0.6816067695617676,mid_high,no_error,0.0,no_vote,no_vote
v18_2805,0,1,0.6088967323303223,mid,no_error,0.0,no_vote,no_vote
v18_3829,0,0,0.4291605055332184,low,no_error,0.0,no_vote,no_vote
v18_4381,0,0,0.5454878807067871,low_mid,no_error,0.0,no_vote,no_vote
v18_3891,0,0,0.2373295575380325,extreme_low,no_error,0.0,no_vote,no_vote
v18_0764,0,0,0.5045,mid,TP,0.0,org_diverse_0,gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-20b/OpenAI-OSS=0|gq-gpt-oss-120b/OpenAI-OSS=0|or-gpt-oss-120b/OpenAI-OSS=0|gq-llama4-scout/Meta=0|gq-llama-3.1-8b/Meta=0|cb-llama3.1-8b/Meta=0|ms-small-lates
v18_2767,0,1,0.6288436651229858,mid,no_error,0.0,no_vote,no_vote
v18_4328,0,0,0.546414852142334,low_mid,no_error,0.0,no_vote,no_vote
v18_3295,0,0,0.3794320821762085,extreme_low,no_error,0.0,no_vote,no_vote
v18_2194,0,1,0.5779898166656494,mid_low,no_error,0.0,no_vote,no_vote
v18_2357,0,1,0.5127154588699341,low_mid,no_error,0.0,no_vote,no_vote
v18_3425,0,0,0.3286319971084595,extreme_low,no_error,0.0,no_vote,no_vote
v18_3979,0,0,0.4247942864894867,low,no_error,0.0,no_vote,no_vote
v18_0911,0,1,0.6580333709716797,mid_high,no_error,0.0,no_vote,no_vote
v18_3145,0,0,0.3773286342620849,extreme_low,no_error,0.0,no_vote,no_vote
v18_0999,0,1,0.6690238118171692,mid_high,no_error,0.0,no_vote,no_vote
v18_3653,0,0,0.4015466570854187,low,no_error,0.0,no_vote,no_vote
v18_2483,0,1,0.6165677309036255,mid,no_error,0.0,no_vote,no_vote
v18_4076,0,0,0.5268334150314331,low_mid,no_error,0.0,no_vote,no_vote
v18_2370,0,1,0.6547619104385376,mid_high,no_error,0.0,no_vote,no_vote
v18_4838,0,0,0.5123235583305359,low_mid,no_error,0.0,no_vote,no_vote
v18_0033,0,0,0.4864,low,TP,0.0,no_vote,no_vote
v18_3789,0,0,0.2016907036304474,extreme_low,no_error,0.0,no_vote,no_vote
v18_1020,0,1,0.6554238796234131,mid_high,no_error,0.0,no_vote,no_vote
v18_1647,0,1,0.5519304275512695,mid_low,no_error,0.0,no_vote,no_vote
v18_0733,1,1,0.698,mid,TN,0.0,no_vote,no_vote
v18_4582,0,0,0.5190606117248535,low_mid,no_error,0.0,no_vote,no_vote
v18_3274,0,0,0.4069309830665588,low,no_error,0.0,no_vote,no_vote
v18_1620,0,1,0.6246250867843628,mid,no_error,0.0,no_vote,no_vote
v18_3135,0,0,0.371377170085907,extreme_low,no_error,0.0,no_vote,no_vote
v18_2689,0,1,0.6065940856933594,mid,no_error,0.0,no_vote,no_vote
v18_2707,0,1,0.5848450064659119,mid_low,no_error,0.0,no_vote,no_vote
v18_0297,0,1,0.5058,mid,FN,0.0,org_diverse_0,gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-20b/OpenAI-OSS=0|gq-gpt-oss-120b/OpenAI-OSS=0|or-gpt-oss-120b/OpenAI-OSS=0|ms-ministral-8b/Mistral=0|ms-small-latest/Mistral=0
v18_2339,0,1,0.6337332725524902,mid,no_error,0.0,no_vote,no_vote
v18_0653,0,0,0.4848,low,TP,0.0,no_vote,no_vote
v18_3774,0,0,0.3730686902999878,extreme_low,no_error,0.0,no_vote,no_vote
v18_1255,0,1,0.652342677116394,mid_high,no_error,0.0,no_vote,no_vote
v18_4520,0,0,0.3610340356826782,extreme_low,no_error,0.0,no_vote,no_vote
v18_0230,1,0,0.6935,mid,FP,0.0,no_vote,no_vote
v18_3276,0,0,0.392092227935791,extreme_low,no_error,0.0,no_vote,no_vote
v18_3230,0,0,0.2142224758863449,extreme_low,no_error,0.0,no_vote,no_vote
v18_0691,1,0,0.6988,mid,FP,0.0,no_vote,no_vote
v18_2754,0,1,0.560378909111023,mid_low,no_error,0.0,no_vote,no_vote
v18_4863,0,0,0.5586090683937073,mid_low,no_error,0.0,no_vote,no_vote
v18_0969,0,1,0.6597511172294617,mid_high,no_error,0.0,no_vote,no_vote
v18_0633,1,1,0.7336,high,TN,0.0,no_vote,no_vote
v18_4092,0,0,0.5357875823974609,low_mid,no_error,0.0,no_vote,no_vote
v18_4077,0,0,0.5245473980903625,low_mid,no_error,0.0,no_vote,no_vote
v18_1321,0,1,0.6607381105422974,mid_high,no_error,0.0,no_vote,no_vote
v18_1831,0,1,0.599331259727478,mid_low,no_error,0.0,no_vote,no_vote
v18_2178,0,1,0.5419261455535889,low_mid,no_error,0.0,no_vote,no_vote
v18_1417,1,1,0.7436480522155762,high,no_error,0.0,no_vote,no_vote
v18_1782,0,1,0.6380875706672668,mid,no_error,0.0,no_vote,no_vote
v18_4715,0,0,0.5333448648452759,low_mid,no_error,0.0,no_vote,no_vote
v18_4701,0,0,0.5177437663078308,low_mid,no_error,0.0,no_vote,no_vote
v18_4118,0,0,0.5095153450965881,low_mid,no_error,0.0,no_vote,no_vote
v18_1652,0,1,0.6089749336242676,mid,no_error,0.0,no_vote,no_vote
v18_1483,0,1,0.6822447776794434,mid_high,no_error,0.0,no_vote,no_vote
v18_2275,0,1,0.634325385093689,mid,no_error,0.0,no_vote,no_vote
v18_0877,0,1,0.6616855263710022,mid_high,no_error,0.0,no_vote,no_vote
v18_3525,0,0,0.4069764018058777,low,no_error,0.0,no_vote,no_vote
v18_2016,0,1,0.5755538940429688,mid_low,no_error,0.0,no_vote,no_vote
v18_0426,0,0,0.4857,low,TP,0.0,no_vote,no_vote
v18_0626,0,0,0.5007,mid,TP,0.0,no_vote,no_vote
v18_1589,0,1,0.5522334575653076,mid_low,no_error,0.0,no_vote,no_vote
v18_2223,0,1,0.5716979503631592,mid_low,no_error,0.0,no_vote,no_vote
v18_2217,0,1,0.5733250379562378,mid_low,no_error,0.0,no_vote,no_vote
v18_4483,0,0,0.5219297409057617,low_mid,no_error,0.0,no_vote,no_vote
v18_1485,0,1,0.681076169013977,mid_high,no_error,0.0,no_vote,no_vote
v18_1739,0,1,0.5661528706550598,mid_low,no_error,0.0,no_vote,no_vote
v18_2480,0,1,0.5290677547454834,low_mid,no_error,0.0,no_vote,no_vote
v18_2584,0,1,0.5858350992202759,mid_low,no_error,0.0,no_vote,no_vote
v18_2893,0,1,0.5379422903060913,low_mid,no_error,0.0,no_vote,no_vote
v18_0149,0,0,0.5002,mid,TP,0.0,no_vote,no_vote
v18_0676,1,0,0.6877,mid,FP,0.0,no_vote,no_vote
v18_1261,0,1,0.6535954475402832,mid_high,no_error,0.0,no_vote,no_vote
v18_4917,0,0,0.563478946685791,mid_low,no_error,0.0,no_vote,no_vote
v18_0012,0,0,0.4686,low,TP,0.0,no_vote,no_vote
v18_1833,0,1,0.5666155815124512,mid_low,no_error,0.0,no_vote,no_vote
v18_3248,0,0,0.4352339506149292,low,no_error,0.0,no_vote,no_vote
v18_1491,0,1,0.667751133441925,mid_high,no_error,0.0,no_vote,no_vote
v18_2727,0,1,0.5152004361152649,low_mid,no_error,0.0,no_vote,no_vote
v18_3686,0,0,0.4858064651489258,low,no_error,0.0,no_vote,no_vote
v18_1424,0,1,0.6732373833656311,mid_high,no_error,0.0,no_vote,no_vote
v18_4605,0,0,0.5573562383651733,mid_low,no_error,0.0,no_vote,no_vote
v18_4595,0,0,0.5121924877166748,low_mid,no_error,0.0,no_vote,no_vote
v18_0731,1,0,0.697,mid,FP,0.0,no_vote,no_vote
v18_1231,0,1,0.6541969180107117,mid_high,no_error,0.0,no_vote,no_vote
v18_1634,0,1,0.6020325422286987,mid,no_error,0.0,no_vote,no_vote
v18_3936,0,0,0.4633870422840118,low,no_error,0.0,no_vote,no_vote
v18_1210,1,1,0.6905626654624939,mid_high,no_error,0.0,no_vote,no_vote
v18_3268,0,0,0.3881554007530212,extreme_low,no_error,0.0,no_vote,no_vote
v18_1934,0,1,0.5539147853851318,mid_low,no_error,0.0,no_vote,no_vote
v18_0553,1,1,0.6936,mid,TN,0.0,no_vote,no_vote
v18_0491,1,1,0.793,high,TN,0.0,no_vote,no_vote
v18_2962,0,0,0.2675289511680603,extreme_low,no_error,0.0,no_vote,no_vote
v18_2329,0,1,0.5521771311759949,mid_low,no_error,0.0,no_vote,no_vote
v18_2195,0,1,0.5147298574447632,low_mid,no_error,0.0,no_vote,no_vote
v18_3064,0,0,0.3829488754272461,extreme_low,no_error,0.0,no_vote,no_vote
v18_0657,1,0,0.6999,mid,FP,0.0,no_vote,no_vote
v18_2374,0,1,0.6056398749351501,mid,no_error,0.0,no_vote,no_vote
v18_2225,0,1,0.6036092042922974,mid,no_error,0.0,no_vote,no_vote
v18_4264,0,0,0.5199562907218933,low_mid,no_error,0.0,no_vote,no_vote
v18_1170,1,1,0.6950571537017822,mid_high,no_error,0.0,no_vote,no_vote
v18_0132,0,1,0.4222,low,FN,0.0,org_diverse_0,gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-120b/OpenAI-OSS=0|gq-gpt-oss-20b/OpenAI-OSS=0|gq-qwen3-32b/Alibaba=0|cb-llama3.1-8b/Meta=0|gq-llama4-scout/Meta=0|ms-ministral-8b/Mistral=0|ms-small-latest/M
