article_id,headline,corpus_batch,SMI_score,SMI_label,human_label
v18_3049,পুলিশ সুপার পর্যায়ের আট কর্মকর্তা বদলি,corpus_expansion_5000,0.17550116536315735,0,0
v18_1117,"লাস ভেগাসে কনসার্টে গুলি, নিহত ৫৮",corpus_expansion_5000,0.1353199798207458,0,1
v18_0642,ক্যালিফোর্নিয়ায় উদয়ন স্কুলের শিক্ষার্থীদের মিলনমেলা,new_high_w1_pany,0.4413369854724032,1,1
v18_4767,"কপিল অচেতন, শাহরুখের শুটিং বাতিল",corpus_expansion_5000,0.8784590901281101,1,0
v18_0501,মাহমুদুরকে গ্রেপ্তার করতে আমার দেশ কার্যালয়ে পুলিশ,new_high_w1_pany,0.10805106127365775,0,1
v18_4066,সাংবাদিক হেদায়েতের স্থায়ী জামিন,corpus_expansion_5000,0.1133379569328199,0,0
v18_0333,মায়ের কোলে ফিরল শিশু জুনায়েদ,new_mid_w0_p0,0.21470329231103846,0,0
v18_4684,চোখ মেলেই দেখেন হাতটা নেই,corpus_expansion_5000,0.37527854712523623,0,0
v18_0486,বাগেরহাট জেলা বিএনপির পূর্ণাঙ্গ কমিটি অনুমোদন,new_mid_w1_p1,0.19480981541195821,0,1
v18_1962,নাশকতাকারীদের কোনো ছাড় নয়: আইজিপি,corpus_expansion_5000,0.3903356352953888,0,1
v18_0393,আর্জেন্টাইন ফুটবলারসহ বিমান নিখোঁজ,new_mid_w0_p0,0.2060688837501653,0,0
v18_4842,"চকরিয়ায় আগুনে পুড়েছে চারটি বসতঘর, দগ্ধ ১",corpus_expansion_5000,0.33890736907144947,0,0
v18_4866,দুই জেলার ৭২ গ্রাম প্লাবিত,corpus_expansion_5000,0.11019172264984413,0,0
v18_1755,কিশোরগঞ্জে গৃহবধূকে ‘পুড়িয়ে হত্যা’,corpus_expansion_5000,0.9085941183484763,1,1
v18_2515,চট্টগ্রামে পাঁচ ‘ছিনতাইকারী’ গ্রেপ্তার,corpus_expansion_5000,0.09023752126685754,0,1
v18_3585,আত্মবিশ্বাস ও আশাবাদ সৃষ্টিতে বিনিয়োগ,corpus_expansion_5000,0.7134044656911401,1,0
v18_4315,২৬ মার্চ শিখা চিরন্তন থেকে যাত্রা শুরু 'দেশ' টিভি'র,corpus_expansion_5000,0.17491898592996105,0,0
v18_4966,ভ্যাট ফাঁকি: স্টারের সব খাবার দোকানে অভিযান,corpus_expansion_5000,0.26116944252095853,0,0
v18_2099,"নড়াইলে জমির বিরোধে সংঘর্ষ, গুলিবিদ্ধ ১২",corpus_expansion_5000,0.2616779041263714,0,1
v18_3599,স্মার্ট কার্ড হাতে আসছে অগাস্টে,corpus_expansion_5000,0.12900293933497636,0,0
v18_4121,নিউইয়র্কে ‘আজকাল সম্মাননা’ পেলেন জ্যোতিপ্রকাশ দত্ত ও আলী রীয়াজ,corpus_expansion_5000,0.5998050314087884,1,0
v18_0029,আত্মার শুদ্ধি মনুষ্যত্বের জাগৃতি,new_high_w1_pany,0.5001624409277972,1,1
v18_0065,স্বাস্থ্য কমপ্লেক্সে ছাত্রলীগ নেতা লাঞ্ছিত?,new_mid_w1_p0,0.9342212259595563,1,1
v18_0838,দু'একটা ধর্ষণ হতেই পারে: বিজেপি মন্ত্রী,corpus_expansion_5000,0.4608024919347506,1,1
v18_3906,চট্টগ্রামে মাসব্যাপী বৃক্ষমেলা,corpus_expansion_5000,0.3702056496403357,0,0
v18_3773,গেল বছর মেগা প্রকল্পের,corpus_expansion_5000,0.11435009066173792,0,0
v18_4635,বরগুনায় ভুল চিকিৎসায় প্রসূতির মৃত্যুর অভিযোগ,corpus_expansion_5000,0.4746410107363502,1,0
v18_3161,তিন ঘণ্টায় ট্রেনের অগ্রিম টিকিট শেষ,corpus_expansion_5000,0.3921913672632442,0,0
v18_2659,২৩ জানুয়ারি: আজকের ঢাকা,corpus_expansion_5000,0.32361796281345045,0,1
v18_4615,গ্রামীণফোন গ্রাহকদের জন্য বিনামূল্যে উইকিপিডিয়া,corpus_expansion_5000,0.22311587068072297,0,0
v18_4628,বিদ্যুতের বর্ধিত মূল্য প্রত্যাহারের দাবি,corpus_expansion_5000,0.2974134317437954,0,0
v18_2451,ছেলেধরা গুজবে আতঙ্কে আসাম,corpus_expansion_5000,0.2860730847351194,0,1
v18_2846,"সিলেটে ছাত্রদলের দুই পক্ষে সংঘর্ষ, আহত ৭",corpus_expansion_5000,0.1244348731246576,0,1
v18_1144,আঁখি ধর্ষণ খুনের রোমহর্ষক কাহিনী,corpus_expansion_5000,0.9073655589829259,1,1
v18_3078,মালয়েশিয়ায় ইমিগ্রেশনে নিবন্ধন শেষে চলবে মেগা-থ্রি অভিযান,corpus_expansion_5000,0.1867513257725107,0,0
v18_1103,মুম্বাই হামলার তথ্য জানতেন লাদেন!,corpus_expansion_5000,0.48148413082813596,1,1
v18_0168,ঘূর্ণিঝড় এলাকায় চিকিৎসকদের ছুটি বাতিল,new_mid_w0_p0,0.1618695290589579,0,0
v18_1670,আসছে ‘আইওয়ালেট’!,corpus_expansion_5000,0.8367501123989921,1,1
v18_2570,বড় ‘মটো মার্কেট’ বাংলাদেশ,corpus_expansion_5000,0.2601425988962303,0,1
v18_2377,নরসিংদীর ৬ খুন: হাই কোর্টের বিভক্ত রায়,corpus_expansion_5000,0.15549232995382364,0,1
v18_4395,ঝড়ো হাওয়া: সদরঘাট থেকে লঞ্চ বন্ধ,corpus_expansion_5000,0.3451374483123983,0,0
v18_4257,টেক্সটাইল বিশ্ববিদ্যালয়ের উদ্বোধন মঙ্গলবার,corpus_expansion_5000,0.11997677692282648,0,0
v18_3862,তারুণ্য ধরে রাখবে দুধ-মধু,corpus_expansion_5000,0.3451374483123983,0,0
v18_0023,তালেবানের নেতৃত্ব মোল্লা ওমরের ছেলের হাতে,new_high_w1_pany,0.4237456057776692,1,0
v18_2633,খুনের দায়ে চাঁদপুরে একজনের মৃত্যুদণ্ড,corpus_expansion_5000,0.2140482906708334,0,1
v18_3340,"চট্টগ্রাম মেডিকেলে বালিশের দাম ২৭ হাজার, যা বললেন স্বাস্থ্যমন্ত্রী",corpus_expansion_5000,0.2008691921806495,0,0
v18_2215,গাজীপুরে গ্রেনেড বিস্ফোরণ: জেএমবি সদস্যের মৃত্যুদণ্ড,corpus_expansion_5000,0.10825574391272422,0,1
v18_3682,উচ্ছেদে সহায়তা না করলে এলাকায় কাজ হবে না,corpus_expansion_5000,0.15750089433669626,0,0
v18_4724,দেশবাসীর কাছে দোয়া চেয়েছেন খালেদা জিয়া,corpus_expansion_5000,0.25427925272153434,0,0
v18_1907,চুয়াডাঙ্গায় ৬ হাতবোমাসহ গ্রেপ্তার ৩,corpus_expansion_5000,0.23253311119379863,0,1
v18_0084,"মালিক, মাস্টার ও ব্যবস্থাপকের বিরুদ্ধে মামলা",new_low_w0_pany,0.2060688837501653,0,0
v18_0227,অবৈধ ডিটিএইচের বিরুদ্ধে অভিযান,new_mid_w0_p0,0.4737632500619631,1,0
v18_0296,নির্বাচনের আগে প্রয়োজন জঙ্গিবাদ মুক্ত করা,new_mid_w0_p0,0.4939110834444935,1,0
v18_1001,‘গ্যাংগ্রুপ’-এর গল্প,corpus_expansion_5000,0.7700541146917192,1,1
v18_2138,গাজীপুরে ট্রাক চাপায় যুবক নিহত,corpus_expansion_5000,0.34200983460079226,0,1
v18_0711,টটেনহ্যাম ম্যাচের আগে চোট নিয়ে দুশ্চিন্তা রিয়ালে,v17_reused,0.49846667416635043,1,0
v18_2801,ঘুষখোরকে ধরতে কোনো বাধা নেই,corpus_expansion_5000,0.16079228470839807,0,1
v18_2527,‘রোবট বোমায়’ নিহত হন ডালাসের বন্দুকধারী,corpus_expansion_5000,0.11852289482861728,0,1
v18_3752,শীতলতম রাত পার করলো তেঁতুলিয়া,corpus_expansion_5000,0.35412000795151966,0,0
v18_3321,স্বাস্থ্য পরীক্ষায় করোনাভাইরাস সাইট চালু করেছে গুগল,corpus_expansion_5000,0.21631558104374735,0,0
v18_3181,"পল্লী বিদ্যুতের মিটার রিডিং নিয়ে ক্ষোভ, দাম না বাড়ানোর দাবি",corpus_expansion_5000,0.0945363922261271,0,0
v18_4183,গাড়ির ইঞ্জিনে বিড়ালছানা,corpus_expansion_5000,0.19000580961738978,0,0
v18_1615,শিশুকে ধর্ষণের অভিযোগে গ্রেপ্তার ১,corpus_expansion_5000,0.17963739025511583,0,1
v18_3024,বাণিজ্য উত্তেজনা: যুক্তরাষ্ট্র ভ্রমণে নাগরিকদের সতর্ক করল চীন,corpus_expansion_5000,0.2741418321182398,0,0
v18_1413,"বিআরটিএতে অভিযান, ২৩ ‘দালালের’ সাজা",corpus_expansion_5000,0.35183690948447854,0,1
v18_0763,লাল কার্ডকে দুষলেন গ্রিসের কোচ,new_high_w1_pany,0.6337366113440399,1,1
v18_0655,"ভ্রমণ নিষেধাজ্ঞা ‘আইনসম্মত’, দাবি যুক্তরাষ্ট্র বিচার বিভাগের",new_high_w1_pany,0.1133379569328199,0,0
v18_4797,খুলনায় এক আসনেই সীমাবদ্ধ চারদল,corpus_expansion_5000,0.24748042004590734,0,0
v18_3849,সাধারণ ছুটিতে ব্যাংকে লেনদেন চলবে ২ ঘণ্টা,corpus_expansion_5000,0.21706526164504839,0,0
v18_4153,বিজিবির নতুন ডিজির দায়িত্ব গ্রহণ,corpus_expansion_5000,0.1804188402741266,0,0
v18_0468,চাঁদা নিয়ে যুবলীগের সংঘর্ষে আহত ১০,new_mid_w1_p1,0.09087249753497764,0,1
v18_0157,ইন্টারনেট ডেটা সাশ্রয় করুন,new_high_w1_pany,0.3921913672632442,0,0
v18_1295,চট্টগ্রামে বজ্রপাতে নিহত ২,corpus_expansion_5000,0.2811603874862428,0,1
v18_0497,চাঁদে বেড়াতে যাচ্ছেন,new_mid_w1_p0,0.7384126165357974,1,0
v18_4740,রেডিয়েন্ট ফার্মাসিউটিক্যালস-ব্র্যাক ব্যাংক চুক্তি,corpus_expansion_5000,0.2060688837501653,0,0
v18_2940,মাছ রপ্তানিতে আয় গত অর্থবছরের তুলনায় বেড়েছে,corpus_expansion_5000,0.0945363922261271,0,0
v18_3456,"খুলনায় বাঁধ ভেঙে বিস্তীর্ণ এলাকা প্লাবিত, পানিবন্দি ২০ হাজার মানুষ",corpus_expansion_5000,0.1353199798207458,0,0
v18_0373,পাক-চীন অর্থনৈতিক করিডরের বিরুদ্ধে ষড়যন্ত্র রোধে প্রস্তুত পাকিস্তানি সেনারা,v17_reused,0.18659056127798318,0,0
v18_0079,পুরস্কার পেল লা মেরিডিয়ান,new_mid_w1_p0,0.48561383052236684,1,0
v18_1553,রোহিঙ্গা নারীদের ‘ধর্ষণের’ আলামত পেয়েছে জাতিসংঘ,corpus_expansion_5000,0.089658305967913,0,1
v18_1669,‘বানানো তথ্য’ দিয়ে রোনালদোর বিপক্ষে ধর্ষণের অভিযোগ!,corpus_expansion_5000,0.5994402408150515,1,1
v18_2131,‘হতাশায়’ বিএনপি নেতার আত্মহত্যা!,corpus_expansion_5000,0.5732181331789303,1,1
v18_4439,নতুন জায়গায়ও ভাসমান বস্তুর খোঁজ মিলেছে,corpus_expansion_5000,0.20000505871365404,0,0
v18_0465,বিএনপি নেতৃত্ব খালেদা-তারেকের বিরুদ্ধে ষড়যন্ত্রে লিপ্ত: হাছান,new_mid_w1_p1,0.246916696368595,0,1
v18_0248,আগামী নির্বাচন হবে অংশগ্রহণমূলক,v17_reused,0.3146615032205769,0,0
v18_0931,ফেলানী হত্যাকাণ্ড,corpus_expansion_5000,0.18821106631727777,0,1
v18_1335,হবিগঞ্জে ননদ-ভাবিকে ‘গণধর্ষণের’ অভিযোগ,corpus_expansion_5000,0.12797425872606974,0,1
v18_4524,বাংলাদেশে সিরিজ জয়ের উপায় আবিষ্কার স্মিথের!,corpus_expansion_5000,0.9710530395465713,1,0
v18_1338,বরিশালে ‘বন্দুকযুদ্ধে’ নিহত ১,corpus_expansion_5000,0.40639880133444034,0,1
v18_1406,‘হয়রানির শিকার হয়েছেন প্রিতি’,corpus_expansion_5000,0.8767260447851957,1,1
v18_1090,রাজধানীর মিরপুরে ‘বন্দুকযুদ্ধে’ যুবক নিহত,corpus_expansion_5000,0.0945363922261271,0,1
v18_4209,বড় সম্প্রসারণে যাচ্ছে জিপিএইচ ইস্পাত,corpus_expansion_5000,0.22311587068072297,0,0
v18_0742,ব্রাজিল ৭ বার বিশ্বকাপ ফাইনাল খেলেছে,new_low_w0_pany,0.4413369854724032,1,0
v18_2323,ধর্ষণের বিষয় এড়িয়ে গেলেন সু চি,corpus_expansion_5000,0.09017802333693167,0,1
v18_3601,"প্রেমটুকুই আলো, বাকি পথ যেন অন্ধগলি",corpus_expansion_5000,0.7418273342619686,1,0
v18_2123,ডি মারিয়ার ‘হৃদয়ে’ রিয়াল,corpus_expansion_5000,0.40195527162411765,0,1
v18_2094,"গোবিন্দগঞ্জে যুবককে গলা কেটে হত্যা, আটক ১",corpus_expansion_5000,0.28008474130873345,0,1
v18_0240,স্বাস্থ্য অধিদফতরের সহকারী পরিচালককে দুদকে জিজ্ঞাসাবাদ,new_high_w1_pany,0.32263931900913917,0,1
v18_2351,ব্র্যাডম্যানের পরই মুমিনুল!,corpus_expansion_5000,0.9458115900171541,1,1
v18_1370,৭৬ বার পেছাল সাগর-রুনি হত্যার তদন্ত প্রতিবেদন,corpus_expansion_5000,0.11128190119967919,0,1
v18_1057,যৌন কেলেঙ্কারির দায়ে বরখাস্ত,corpus_expansion_5000,0.9650190603320085,1,1
v18_4816,সাদিয়া সুলতানা কামাল গোল্ডেন জিপিএ ৫ পেয়েছে,corpus_expansion_5000,0.4413369854724032,1,0
v18_0199,বারবার মেয়াদ না বাড়িয়ে একাধিক প্রকল্পের সুপারিশ,new_mid_w0_p0,0.15465557260335663,0,0
v18_2280,"নীলফামারী ইপিজেডে অগ্নিকাণ্ড, হুড়োহুড়িতে ৫ শ্রমিক আহত",corpus_expansion_5000,0.39518663841831475,0,1
v18_4749,উত্তর কোরিয়ার ওপর চাপ অব্যাহত থাকবে: ট্রাম্প,corpus_expansion_5000,0.3482540825610084,0,0
v18_2220,তালায় শিশু ধর্ষণের অভিযোগে আটক ১,corpus_expansion_5000,0.21130476167907544,0,1
v18_4771,"ডোমারে ভিজিএফের চাল কালোবাজারিতে, ৬ গোডাউন সিলগালা",corpus_expansion_5000,0.16364103087156653,0,0
v18_2819,‘অনিচ্ছাকৃত ত্রুটি’,corpus_expansion_5000,0.30093381222399707,0,1
v18_3150,ভারতের মতো বিড়িকে কুটির শিল্প হিসেবে ঘোষণার দাবি বাংলাদেশে,corpus_expansion_5000,0.12074899708751488,0,0
v18_4256,বার্সাকে রুখে দিল সেল্টা,corpus_expansion_5000,0.5864653611075765,1,0
v18_3107,"অনুমতি নিয়েই এসেছি কানাডায়, বিভ্রান্তির সুযোগ নেই",corpus_expansion_5000,0.11661683327811026,0,0
v18_1973,নড়াইলে দুপক্ষের সংঘর্ষে নিহত ১,corpus_expansion_5000,0.19000580961738978,0,1
v18_1375,"মির্জাপুরে ভটভটি খাদে, নিহত ২",corpus_expansion_5000,0.1476023763660605,0,1
v18_3968,"বিচার করবে আইন, চাপাতি বা বন্দুক নয়",corpus_expansion_5000,0.13136854738888568,0,0
v18_4062,ভোটারদের ভোটদানের সুযোগ দিতে সরকার ও ইসিকে কমনওয়েলথের আহবান,corpus_expansion_5000,0.09114550185653858,0,0
v18_4445,চিটাগাং চেম্বারে ভারতের বেঙ্গল চেম্বার প্রতিনিধিদলের মতবিনিময়,corpus_expansion_5000,0.19185974657392724,0,0
v18_3557,তথ্যপ্রযুক্তি বাণিজ্যে দুই দেশের সহযোগিতা দরকার,corpus_expansion_5000,0.2347185762861585,0,0
v18_0964,জটে ঝুলছে ফাঁসির আসামিরাও,corpus_expansion_5000,0.22449896003037811,0,1
v18_0179,বিজিএমইএতে ভোট আজ,new_low_w0_pany,0.3451374483123983,0,0
v18_3698,কান খাড়া রাখার নির্দেশ,corpus_expansion_5000,0.15777274024172375,0,0
v18_3821,এবার সুখের সময় খাসিয়া পানপুঞ্জির,corpus_expansion_5000,0.2950791998244779,0,0
v18_4878,আইপিএলে যে দলে খেলবেন সালমা-জাহানারা,corpus_expansion_5000,0.7712272984829612,1,0
v18_3899,শিল্প খাতের প্রণোদনা : ঋণের মেয়াদ কমিয়ে ১ বছরের নির্দেশনা জারি,corpus_expansion_5000,0.3632184722451032,0,0
v18_4487,মিয়ানমারে ৫০ বছরে প্রথম বেসামরিক প্রেসিডেন্টের শপথ,corpus_expansion_5000,0.4647540629499113,1,0
v18_3238,বিনা খরচে নামকরা বিশ্ববিদ্যালয়ে অনলাইন কোর্স,corpus_expansion_5000,0.36103396929987586,0,0
v18_2974,বরিশালে থ্রিজি চালু করেছে গ্রামীণফোন,corpus_expansion_5000,0.1133379569328199,0,0
v18_3580,কুষ্টিয়ায় সড়ক পরিবহন আইন সংশোধনের দাবি,corpus_expansion_5000,0.22855476165745936,0,0
v18_2887,চট্টগ্রামে বিকল বাসে অগ্নিকাণ্ড,corpus_expansion_5000,0.1476023763660605,0,1
v18_2575,পাবনায় শিশুসহ ২ জনের আত্মহত্যা,corpus_expansion_5000,0.4165568777450921,0,1
v18_1419,দুর্বৃত্তের হামলা,corpus_expansion_5000,0.4076543965940803,0,1
v18_3907,"সেতু সংস্কারে প্রশাসনের বরাদ্দ নেই, এগিয়ে এলেন ব্যবসায়ীরা",corpus_expansion_5000,0.2973651279914681,0,0
v18_4673,চ্যাম্পিয়ন্স লিগে ম্যানচেস্টার সিটি,corpus_expansion_5000,0.7530834018823405,1,0
v18_4902,জুতা পায়ে স্বাধীনতা স্তম্ভে ওঠায় চিফ হুইপের সমালোচনা,corpus_expansion_5000,0.2813285908847708,0,0
v18_1860,গাজায় সংঘর্ষে নিহত ৬,corpus_expansion_5000,0.08867333438792221,0,1
v18_0008,মালয়েশিয়ায় ৬১ জন অবৈধ বাংলাদেশি আটক,new_low_w0_pany,0.1110722095740751,0,0
v18_2894,সৌদি রাজপরিবারে ফাটল!,corpus_expansion_5000,0.9864580400664303,1,1
v18_2847,"লাহোরে গাড়িবোমা বিস্ফোরণ, ডিআইজিসহ নিহত ১৬",corpus_expansion_5000,0.1848062794709119,0,1
v18_3664,সবাইকে সঙ্গে নিয়ে উন্নয়নে বিশ্বাসী,corpus_expansion_5000,0.18280174671650304,0,0
v18_0144,অ্যাপল ওয়াচে ‘গোপন’ চার্জিং পোর্ট,v17_reused,0.6324019153695057,1,0
v18_2104,মেক্সিকোতে বিমান বিধ্বস্ত হয়ে ৯ জন নিহত,corpus_expansion_5000,0.32438175186790896,0,1
v18_3143,এসএসসির ফরম পূরণে `অতিরিক্ত' অর্থ আদায়,corpus_expansion_5000,0.22311587068072297,0,0
v18_0841,আজিমপুর অভিযান: তিন নারী জঙ্গির বিচার শুরু,corpus_expansion_5000,0.11099990523577062,0,1
v18_1128,"কক্সবাজারে ‘দুই দল ডাকাতের’ গোলাগুলি, নিহত ২",corpus_expansion_5000,0.15681578847322364,0,1
v18_0151,তরুণ পেসারদের ওপর হিথ স্ট্রিকের আস্থা,v17_reused,0.33432060092664034,0,0
v18_3591,সের্গেই-ইউলিয়া স্ক্রিপালের ভবিষ্যৎ স্বাস্থ্য নিয়ে অনিশ্চয়তা,corpus_expansion_5000,0.18090296075515916,0,0
v18_1052,‘আত্মহত্যার প্ররোচনায়’ মিতুর নামে মামলা হচ্ছে,corpus_expansion_5000,0.12885919843046614,0,1
v18_1590,পটুয়াখালীতে ৩০ মামলার আসামি ‘বন্দুকযুদ্ধে’ নিহত,corpus_expansion_5000,0.2060688837501653,0,1
v18_3008,প্রতিবন্ধীদের অধিকার বিষয়ক কর্মশালা শুরু,corpus_expansion_5000,0.0945363922261271,0,0
v18_2029,নেপালে মসজিদে বোমা হামলায় ২ জন নিহত,corpus_expansion_5000,0.08852149829508693,0,1
v18_3418,সিটি ব্যাংক ক্যাপিটাল-ডিবিএল গ্রুপের চুক্তি,corpus_expansion_5000,0.28008474130873345,0,0
v18_1807,আত্মহত্যা করেছেন বৈমানিকেরা!,corpus_expansion_5000,0.8038940786129363,1,1
v18_2696,মঞ্চে আসছে ‘গালিভারের সফর’,corpus_expansion_5000,0.5167968786685285,1,1
v18_3039,হবিগঞ্জে বাসের ধাক্কায় মোটর সাইকেল আরোহীর মৃত্যু,corpus_expansion_5000,0.1353199798207458,0,0
v18_0472,পবিত্র আশুরা,v17_reused,0.4131071123395625,0,0
v18_3289,সমুদ্রপথে যুক্ত হচ্ছে বাংলাদেশ ভারত শ্রীলঙ্কা মালদ্বীপ,corpus_expansion_5000,0.17491898592996105,0,0
v18_4074,হঠাৎ কেন মুসলমানদের এমন নৃশংসতার শিকার হতে হলো?,corpus_expansion_5000,0.49348267529680373,1,0
v18_3496,"মৃত্যু এত সহজ, জীবন এত সস্তা",corpus_expansion_5000,0.14643258345125226,0,0
v18_0279,লেভেলক্রসিং,new_high_w1_pany,0.5337471655747154,1,0
v18_1741,রাজধানীতে ‘বন্দুকযুদ্ধে’ ৩ ‘মাদক বিক্রেতা’ নিহত,corpus_expansion_5000,0.598900906658088,1,1
v18_4624,সীমান্ত সম্মেলনে গুরুত্ব পাবে হত্যা ও অনুপ্রবেশ,corpus_expansion_5000,0.12702041596134325,0,0
v18_2886,সংস্কার কাজে অনিয়ম দুর্নীতি,corpus_expansion_5000,0.3451374483123983,0,1
v18_1941,গাজীপুরে গার্মেন্টস মালিককে গুলি ৬৬ লাখ ৫০ হাজার টাকা ছিনতাই,corpus_expansion_5000,0.1827102932336691,0,1
v18_0100,হাতিয়ায় সি-ট্রাকের ধাক্কায় দুই জেলে নিহত,v17_reused,0.19004946525341476,0,0
v18_2804,‘সি’ ইউনিটের ভর্তি পরীক্ষা কাল,corpus_expansion_5000,0.2060688837501653,0,1
v18_3570,ই-কমার্স খাতের বিকাশে প্রয়োজন বিদেশি বিনিয়োগ,corpus_expansion_5000,0.21714484267632456,0,0
v18_3684,রেলওয়ের কেনাকাটা নিয়ে সংসদীয় কমিটির ক্ষোভ,corpus_expansion_5000,0.1147905028265855,0,0
v18_3661,বরিশাল-খুলনা রুটে ঝালকাঠির বাস চলাচল আবার বন্ধ,corpus_expansion_5000,0.11165742310247344,0,0
v18_0530,ছবি মেলাতিন রকমের তিন প্রদর্শনী,new_mid_w1_p0,0.19000580961738978,0,0
v18_1886,মুন্সীগঞ্জে ‘মাদক ব্যবসা’: দু’দলের সংঘর্ষে নিহত ১,corpus_expansion_5000,0.10203219586822919,0,1
v18_0681,দুই স্কুলছাত্রসহ নিহত ৩,v17_reused,0.25350400373762855,0,0
v18_3794,"দেশভাগ রাষ্ট্রকে দ্বিখণ্ডিত করেছে, সংস্কৃতিকে নয়",corpus_expansion_5000,0.5820094274292109,1,0
v18_3944,মরুভূমির প্রচণ্ড গরমে টিকে থাকা প্রাণীরা,corpus_expansion_5000,0.9348993733286842,1,0
v18_4666,রওশনকে চেয়ারম্যান করে জাতীয় পার্টির সংস্কার প্রায় চূড়ান্ত: গোলাম মসীহ,corpus_expansion_5000,0.26402233713685125,0,0
v18_2018,ডুমিনির ব্যাটে দক্ষিণ আফ্রিকা ১১৫,corpus_expansion_5000,0.7248914332212644,1,1
v18_1096,বঙ্গবন্ধু হত্যায় জিয়া ‘সক্রিয়ভাবে’ জড়িত: নৌমন্ত্রী,corpus_expansion_5000,0.36835127139997426,0,1
v18_0829,সুবর্ণচর গণধর্ষণে আলামত মিলেছে,corpus_expansion_5000,0.13565901974712083,0,1
v18_2805,নেক্সাস ৬-এর আদ্যোপান্ত,corpus_expansion_5000,0.240715711470191,0,1
v18_3829,"চুনতি বন পাহারায় সাফল্য, পুরস্কৃত ১৪ জন",corpus_expansion_5000,0.21093841116397974,0,0
v18_4381,চিত্র প্রদর্শনীতে বরেন্দ্রের মাটি ও মানুষের মুখ,corpus_expansion_5000,0.28058659899601207,0,0
v18_3891,পোশাকই হবে মোবাইল চার্জার,corpus_expansion_5000,0.4020482029988911,0,0
v18_0764,১৩০০ পিস ইয়াবাসহ ৫ মাদক ব্যবসায়ী গ্রেফতার,v17_reused,0.3904672205704019,0,0
v18_2767,একসঙ্গে দুই শিশুকে ধর্ষণ,corpus_expansion_5000,0.15262062134482607,0,1
v18_4328,টানা তিন চারের পর তাইজুলের ছয়,corpus_expansion_5000,0.604467578533495,1,0
v18_3295,স্বাস্থ্যসেবা নিশ্চিত করতে ফ্রেমওয়ার্ক তৈরি হচ্ছে,corpus_expansion_5000,0.16371354546707997,0,0
v18_2194,কোটা: ঢাবি ক্যাম্পাসে সংঘর্ষ-ভাংচুর,corpus_expansion_5000,0.21904579484767414,0,1
v18_2357,রাজশাহীতে পুলিশ-শিক্ষার্থী সংঘর্ষ,corpus_expansion_5000,0.1615155709190323,0,1
v18_3425,ভূমি মন্ত্রণালয়ের সবার জবাবদিহি নিশ্চিত করতে হবে-ভূমিমন্ত্রী,corpus_expansion_5000,0.09195948774641224,0,0
